iMod_name	PCC
LexA	-0.152693976
EatR	-0.106757732
PrrF	-0.13762184
RpoS-2	0.267768268
CbrB	0.107641902
CueR	0.039790976
Translational-2	0.126309485
PprB	0.07493984
PhhR-1	0.114719921
DhcR	0.186905091
EutR	-0.079067571
ExsB	-0.343749948
Singlet-1	-0.194343745
SoxR	0.805175427
Singlet-2	0.006885264
Singlet-3	0.108308202
NagQ	-0.224560577
ErbR-2	-0.041261
Un-6	-0.057818382
TagR1	-0.199070898
GcsR	0.067000354
BexR	0.316227736
Un-11	-0.041146335
EsrC	0.187065514
Sfa2	0.031760287
Un-5	-0.020781483
MexS-1	-0.406934802
Translational-1	-0.270281301
Un-8	0.05314309
FoxR	-0.088249021
XisF4-2	0.057745696
GlpR	-0.192372214
ArgR-1	-0.069484269
Singlet-4	0.08659068
Un-3	0.069745821
QscR-2	0.402925808
PtxS	0.007297625
QscR-1	0.22210948
AmpC	0.14314339
AtuR	0.19296723
Zur-2	-0.029414606
LiuR	0.116977453
RpoS-1	0.249610484
RiPP	-0.243019233
FleN-2	-0.194423257
PA1226	0.064667776
Singlet-5	0.30265999
AmiE	-0.073953737
SouR	0.131340049
RpoN	0.288391743
DguR	-0.09123808
PvdS	0.074194371
Singlet-6	0.153394966
AmrZ	0.14685384
Singlet-7	0.118674201
Singlet-8	0.073621889
Un-1	0.168359656
HutC	0.23965585
FruR	-0.205288396
NRPS	0.283492267
RsmA	0.347312898
FpvR	-0.05652219
RoxR	-0.138636576
AtsR	0.22262989
CysB-2	0.114654747
MexS-2	-0.14854171
MvfR	0.162260541
MexZ	0.100864285
MdcR	-0.016633143
PchR	0.126932837
ErbR-1	-0.112636777
Sigma-70	-0.09780964
HexR-2	-0.140897504
CysB-1	0.146008751
HypR	0.182870137
Singlet-9	-0.086966568
Un-10	-0.211024705
LasR	0.237581062
XisF4-1	-0.04981321
Un-7	0.136237526
AauR	-0.110224779
Un-2	0.016020264
AntR	0.068817771
Anr-1	0.10897041
Iron acquisition	0.011245718
RpoH	0.009061577
k-opioid	0.233676721
CpxR	-0.036062386
HexR-1	0.102309415
PmrA	-0.074725072
Un-9	-0.005278246
Singlet-10	0.121638505
Anr-2	-0.094890204
FleN-1	0.108603311
Lrp	-0.005671741
Singlet-11	0.004354418
Zur-1	0.215799702
MmsR	0.209221361
PhnR-2	0.150448661
Anr-3	-0.202536331
Un-4	0.321834475
CzcR	0.081839116
Cell Division	-0.325732455
Un-12	-0.185984266
AcoR	-0.088172417
Translational-3	0.27036027
NarL	-0.139940237
Un-13	0.349886681
Singlet-12	0.246265641
AHL	0.26369341
LaoR	0.336093109
Fur	-0.033488381
Anr-4	-0.164916895
Quorum sensing	0.540154384
CysB-3	-0.12506867
Un-14	0.041176039
LexA	-0.152693976
EatR	-0.106757732
PrrF	-0.13762184
RpoS-2	0.267768268
CbrB	0.107641902
CueR	0.039790976
Translational-2	0.126309485
PprB	0.07493984
PhhR-1	0.114719921
DhcR	0.186905091
EutR	-0.079067571
ExsB	-0.343749948
Singlet-1	-0.194343745
SoxR	0.805175427
Singlet-2	0.006885264
Singlet-3	0.108308202
NagQ	-0.224560577
ErbR-2	-0.041261
Un-6	-0.057818382
TagR1	-0.199070898
GcsR	0.067000354
BexR	0.316227736
Un-11	-0.041146335
EsrC	0.187065514
Sfa2	0.031760287
Un-5	-0.020781483
MexS-1	-0.406934802
Translational-1	-0.270281301
Un-8	0.05314309
FoxR	-0.088249021
XisF4-2	0.057745696
GlpR	-0.192372214
ArgR-1	-0.069484269
Singlet-4	0.08659068
Un-3	0.069745821
QscR-2	0.402925808
PtxS	0.007297625
QscR-1	0.22210948
AmpC	0.14314339
AtuR	0.19296723
Zur-2	-0.029414606
LiuR	0.116977453
RpoS-1	0.249610484
RiPP	-0.243019233
FleN-2	-0.194423257
PA1226	0.064667776
Singlet-5	0.30265999
AmiE	-0.073953737
SouR	0.131340049
RpoN	0.288391743
DguR	-0.09123808
PvdS	0.074194371
Singlet-6	0.153394966
AmrZ	0.14685384
Singlet-7	0.118674201
Singlet-8	0.073621889
Un-1	0.168359656
HutC	0.23965585
FruR	-0.205288396
NRPS	0.283492267
RsmA	0.347312898
FpvR	-0.05652219
RoxR	-0.138636576
AtsR	0.22262989
CysB-2	0.114654747
MexS-2	-0.14854171
MvfR	0.162260541
MexZ	0.100864285
MdcR	-0.016633143
PchR	0.126932837
ErbR-1	-0.112636777
Sigma-70	-0.09780964
HexR-2	-0.140897504
CysB-1	0.146008751
HypR	0.182870137
Singlet-9	-0.086966568
Un-10	-0.211024705
LasR	0.237581062
XisF4-1	-0.04981321
Un-7	0.136237526
AauR	-0.110224779
Un-2	0.016020264
AntR	0.068817771
Anr-1	0.10897041
Iron acquisition	0.011245718
RpoH	0.009061577
k-opioid	0.233676721
CpxR	-0.036062386
HexR-1	0.102309415
PmrA	-0.074725072
Un-9	-0.005278246
Singlet-10	0.121638505
Anr-2	-0.094890204
FleN-1	0.108603311
Lrp	-0.005671741
Singlet-11	0.004354418
Zur-1	0.215799702
MmsR	0.209221361
PhnR-2	0.150448661
Anr-3	-0.202536331
Un-4	0.321834475
CzcR	0.081839116
Cell Division	-0.325732455
Un-12	-0.185984266
AcoR	-0.088172417
Translational-3	0.27036027
NarL	-0.139940237
Un-13	0.349886681
Singlet-12	0.246265641
AHL	0.26369341
LaoR	0.336093109
Fur	-0.033488381
Anr-4	-0.164916895
Quorum sensing	0.540154384
CysB-3	-0.12506867
Un-14	0.041176039
