iMod_name	PCC
LexA	0.030409589
EatR	0.108039756
PrrF	0.031469658
RpoS-2	0.052942272
CbrB	0.034311221
CueR	-0.032757216
Translational-2	0.088623315
PprB	-0.140025695
PhhR-1	-0.017504174
DhcR	0.017893955
EutR	0.106850243
ExsB	-0.065691385
Singlet-1	0.082213406
SoxR	0.120826862
Singlet-2	0.117780405
Singlet-3	0.049956413
NagQ	-0.050880592
ErbR-2	0.17023371
Un-6	0.011873743
TagR1	0.088725319
GcsR	-0.072493085
BexR	0.117239115
Un-11	0.10353909
EsrC	0.398011999
Sfa2	-0.010502516
Un-5	-0.069719547
MexS-1	-0.220488775
Translational-1	0.053339719
Un-8	0.086527286
FoxR	0.087504049
XisF4-2	0.09115079
GlpR	0.140222705
ArgR-1	0.134651062
Singlet-4	0.105972232
Un-3	0.188922141
QscR-2	-0.165865228
PtxS	-0.106857293
QscR-1	0.178729159
AmpC	0.236189001
AtuR	0.062480565
Zur-2	0.003485346
LiuR	0.037817482
RpoS-1	0.304401198
RiPP	-0.058411147
FleN-2	0.056756959
PA1226	0.0091066
Singlet-5	0.052597966
AmiE	0.144364235
SouR	0.282443361
RpoN	0.256270691
DguR	-0.145730056
PvdS	-0.053701616
Singlet-6	-0.043065524
AmrZ	0.196290055
Singlet-7	-0.054878847
Singlet-8	0.003097228
Un-1	0.072122186
HutC	-0.118461069
FruR	0.161558755
NRPS	-0.087840881
RsmA	-0.124647374
FpvR	0.177341603
RoxR	-0.029434748
AtsR	-0.219315417
CysB-2	-0.121925248
MexS-2	0.241795865
MvfR	-0.171323491
MexZ	0.051402759
MdcR	0.100356509
PchR	0.118161717
ErbR-1	0.05834671
Sigma-70	0.006159855
HexR-2	-0.223705133
CysB-1	-0.154542085
HypR	0.066166417
Singlet-9	-0.039406629
Un-10	-0.125684168
LasR	-0.189320628
XisF4-1	0.150054865
Un-7	-0.050727413
AauR	0.121755832
Un-2	-0.063289639
AntR	0.034136039
Anr-1	0.20187876
Iron acquisition	-0.072382835
RpoH	0.063398967
k-opioid	-0.18172664
CpxR	0.84409723
HexR-1	-0.089288065
PmrA	0.081338832
Un-9	0.141253345
Singlet-10	-0.005534531
Anr-2	0.092813463
FleN-1	-0.117565008
Lrp	0.042834525
Singlet-11	0.049774257
Zur-1	0.002543096
MmsR	0.038803284
PhnR-2	0.107235404
Anr-3	-0.143133188
Un-4	0.227990386
CzcR	0.273981567
Cell Division	0.135731788
Un-12	-0.149403148
AcoR	0.129300116
Translational-3	0.111202098
NarL	0.0949335
Un-13	-0.021511513
Singlet-12	-0.038149546
AHL	-0.183452409
LaoR	-0.107937638
Fur	-0.109405889
Anr-4	-0.088307323
Quorum sensing	-0.050860887
CysB-3	-0.201752816
Un-14	0.086135155
