iMod_name	PCC
LexA	0.135569873
EatR	-0.009374366
PrrF	0.139703045
RpoS-2	0.184706098
CbrB	0.13958749
CueR	0.517084158
Translational-2	-0.236045917
PprB	0.079295412
PhhR-1	0.069254846
DhcR	-0.044133564
EutR	-0.037652662
ExsB	-0.118040393
Singlet-1	-0.092009125
SoxR	-0.019578662
Singlet-2	-0.096168097
Singlet-3	-0.149286896
NagQ	0.149029893
ErbR-2	-0.033380815
Un-6	-0.026521918
TagR1	-0.219566404
GcsR	-0.068173551
BexR	-0.162799605
Un-11	-0.102657917
EsrC	-0.118718594
Sfa2	-0.075671544
Un-5	0.232742994
MexS-1	0.189941203
Translational-1	-0.353324339
Un-8	0.085051746
FoxR	-0.004047092
XisF4-2	-0.007604112
GlpR	-0.056812023
ArgR-1	-0.078889986
Singlet-4	0.000615315
Un-3	0.321088737
QscR-2	0.036714164
PtxS	0.117370323
QscR-1	-0.06150449
AmpC	-0.114528981
AtuR	0.048283054
Zur-2	0.041455623
LiuR	0.091382273
RpoS-1	0.1235504
RiPP	-0.032665686
FleN-2	-0.230888658
PA1226	-0.095647129
Singlet-5	-0.220008722
AmiE	0.065396444
SouR	0.085658902
RpoN	0.098837475
DguR	-0.040767626
PvdS	-0.005547856
Singlet-6	-0.133741374
AmrZ	-0.017624255
Singlet-7	0.014308057
Singlet-8	0.010099981
Un-1	0.259261385
HutC	0.212090378
FruR	-0.131609058
NRPS	0.059296131
RsmA	0.012269131
FpvR	-0.092316991
RoxR	0.206832994
AtsR	0.227516876
CysB-2	0.165373393
MexS-2	0.09482547
MvfR	-0.002844024
MexZ	-0.010760028
MdcR	0.128012199
PchR	-0.017670081
ErbR-1	0.130117266
Sigma-70	-0.024187559
HexR-2	0.13456687
CysB-1	0.18044081
HypR	-0.050189689
Singlet-9	-0.014838317
Un-10	0.215174539
LasR	-0.065707515
XisF4-1	0.211671097
Un-7	0.153879092
AauR	-0.086297785
Un-2	0.263114118
AntR	0.162164425
Anr-1	-0.165021599
Iron acquisition	0.045463294
RpoH	0.148945131
k-opioid	0.199571749
CpxR	0.02569854
HexR-1	0.059661861
PmrA	0.088840317
Un-9	-0.061461475
Singlet-10	0.008950772
Anr-2	-0.000439512
FleN-1	0.137795198
Lrp	-0.134887714
Singlet-11	-0.090333037
Zur-1	0.088020594
MmsR	0.081038107
PhnR-2	-0.045424863
Anr-3	-0.050046465
Un-4	-0.071774079
CzcR	0.039473268
Cell Division	-0.114795027
Un-12	0.196279141
AcoR	0.01339363
Translational-3	-0.226067711
NarL	-0.137883196
Un-13	-0.095574666
Singlet-12	-0.087755841
AHL	0.122813946
LaoR	0.130529818
Fur	-0.003061618
Anr-4	-0.141186438
Quorum sensing	0.061081397
CysB-3	0.108209761
Un-14	-0.062167258
