iMod_name	PCC
LexA	0.180316254
EatR	-0.077753198
PrrF	-0.133323846
RpoS-2	-0.169416767
CbrB	0.002476119
CueR	-0.015603992
Translational-2	0.127769243
PprB	-0.095901021
PhhR-1	-0.181518236
DhcR	-0.149043822
EutR	0.194731469
ExsB	-0.042980296
Singlet-1	0.151220539
SoxR	0.110701811
Singlet-2	0.109672091
Singlet-3	0.005936931
NagQ	0.165556869
ErbR-2	0.221071112
Un-6	-0.048333857
TagR1	-0.038774594
GcsR	-0.19094398
BexR	0.087988048
Un-11	-0.013819538
EsrC	0.618586523
Sfa2	-0.034115329
Un-5	0.18557772
MexS-1	-0.260369371
Translational-1	-0.047647103
Un-8	0.085950991
FoxR	-0.001595443
XisF4-2	-0.126922163
GlpR	0.11600668
ArgR-1	-0.193527603
Singlet-4	0.226622643
Un-3	-0.106992565
QscR-2	-0.137775061
PtxS	0.155711132
QscR-1	0.26697388
AmpC	0.134266677
AtuR	0.165419888
Zur-2	0.158802727
LiuR	-0.06779721
RpoS-1	0.064739819
RiPP	0.2306459
FleN-2	-0.088190496
PA1226	-0.14454758
Singlet-5	0.176974304
AmiE	0.010179619
SouR	0.150803005
RpoN	0.048683265
DguR	0.132585468
PvdS	-0.015425058
Singlet-6	0.187696657
AmrZ	0.197847065
Singlet-7	-0.171555127
Singlet-8	-0.074091358
Un-1	-0.106882754
HutC	-0.146141949
FruR	0.020976122
NRPS	-0.226631959
RsmA	-0.117192332
FpvR	0.06374776
RoxR	0.087263396
AtsR	-0.080842163
CysB-2	-0.219242379
MexS-2	0.257369101
MvfR	-0.20826843
MexZ	-0.071654828
MdcR	0.12040371
PchR	0.046336079
ErbR-1	-0.104818707
Sigma-70	-0.158520833
HexR-2	-0.01263696
CysB-1	-0.167955196
HypR	0.218294843
Singlet-9	-0.005567753
Un-10	0.049491783
LasR	-0.366787874
XisF4-1	-0.129563141
Un-7	0.044236044
AauR	-0.11508113
Un-2	0.00676597
AntR	0.120110106
Anr-1	0.058513604
Iron acquisition	-0.008777184
RpoH	-0.004750696
k-opioid	-0.112284631
CpxR	0.187846996
HexR-1	-0.108615899
PmrA	-0.252373002
Un-9	0.268133388
Singlet-10	-0.056402925
Anr-2	0.273181051
FleN-1	-0.18561249
Lrp	0.020213124
Singlet-11	0.210239276
Zur-1	-0.03665789
MmsR	-0.098853337
PhnR-2	0.258638059
Anr-3	0.01709143
Un-4	-0.040386471
CzcR	0.209726496
Cell Division	-0.218332749
Un-12	0.087244978
AcoR	0.327445398
Translational-3	-0.156870283
NarL	0.198479286
Un-13	-0.02852855
Singlet-12	0.083831249
AHL	-0.167014871
LaoR	0.027737656
Fur	0.296984132
Anr-4	0.084501284
Quorum sensing	-0.123079827
CysB-3	-0.312315816
Un-14	-0.415484438
