iMod_name	PCC
LexA	-0.068916564
EatR	0.051637298
PrrF	-0.064339281
RpoS-2	-0.121334966
CbrB	0.368100218
CueR	0.070536568
Translational-2	0.172165521
PprB	-0.533545078
PhhR-1	0.239054225
DhcR	0.250575407
EutR	0.191082186
ExsB	-0.420961761
Singlet-1	-0.183330536
SoxR	0.342323068
Singlet-2	-0.113671299
Singlet-3	-0.055368426
NagQ	-0.236023812
ErbR-2	-0.084814468
Un-6	-0.075310384
TagR1	0.015691332
GcsR	0.219980813
BexR	0.278924737
Un-11	-0.210755735
EsrC	0.016273779
Sfa2	0.176412116
Un-5	-0.286398065
MexS-1	-0.950771893
Translational-1	-0.088176679
Un-8	-0.351819845
FoxR	-0.240074639
XisF4-2	-0.060549792
GlpR	-0.112203357
ArgR-1	0.307409775
Singlet-4	0.137442763
Un-3	-0.14038255
QscR-2	0.405936169
PtxS	-0.238124961
QscR-1	0.278436239
AmpC	-0.038170926
AtuR	0.16659429
Zur-2	-0.147720536
LiuR	0.268363693
RpoS-1	0.1843761
RiPP	-0.176438128
FleN-2	-0.04656018
PA1226	0.473208899
Singlet-5	0.308259127
AmiE	0.277827076
SouR	-0.10881236
RpoN	0.079826227
DguR	0.014024799
PvdS	-0.208836821
Singlet-6	0.313024752
AmrZ	0.307961258
Singlet-7	0.12578727
Singlet-8	0.349766374
Un-1	0.155124699
HutC	0.21677493
FruR	-0.134965417
NRPS	0.347544875
RsmA	0.391162909
FpvR	-0.268248755
RoxR	-0.370167804
AtsR	0.307712019
CysB-2	0.311048326
MexS-2	0.090443513
MvfR	0.204899867
MexZ	0.254223836
MdcR	-0.191710671
PchR	0.014963193
ErbR-1	-0.095536765
Sigma-70	0.046610037
HexR-2	-0.116889643
CysB-1	0.298012151
HypR	-0.149315501
Singlet-9	-0.283186715
Un-10	-0.254591839
LasR	0.267750225
XisF4-1	0.07810191
Un-7	-0.079612023
AauR	-0.276677036
Un-2	-0.109382652
AntR	-0.242602068
Anr-1	0.367768023
Iron acquisition	-0.206366786
RpoH	0.143556441
k-opioid	0.079723183
CpxR	0.006167147
HexR-1	0.295821076
PmrA	-0.14634105
Un-9	0.010508408
Singlet-10	0.121234877
Anr-2	0.027106279
FleN-1	0.015351178
Lrp	0.258326804
Singlet-11	-0.021724496
Zur-1	0.32267478
MmsR	0.386421012
PhnR-2	-0.164362013
Anr-3	-0.004620287
Un-4	0.169962236
CzcR	-0.115153907
Cell Division	-0.069105061
Un-12	-0.468909042
AcoR	-0.078558932
Translational-3	0.479479147
NarL	-0.051663336
Un-13	0.422895639
Singlet-12	0.097583512
AHL	0.381101415
LaoR	0.202333923
Fur	-0.086609918
Anr-4	0.060242173
Quorum sensing	0.320618119
CysB-3	0.059665121
Un-14	0.254912342
