iMod_name	PCC
LexA	0.235973326
EatR	-0.257657519
PrrF	-0.133780269
RpoS-2	-0.039965007
CbrB	-0.091825368
CueR	0.070873475
Translational-2	0.064444452
PprB	0.086933094
PhhR-1	-0.200019429
DhcR	-0.172721487
EutR	-0.120636659
ExsB	-0.031143943
Singlet-1	0.046441513
SoxR	-0.02341276
Singlet-2	0.15458377
Singlet-3	0.051066624
NagQ	-0.041616337
ErbR-2	0.019473598
Un-6	-0.064957045
TagR1	-0.226179259
GcsR	-0.271223994
BexR	-0.002371376
Un-11	0.030221014
EsrC	0.301402009
Sfa2	-0.102051231
Un-5	0.109843332
MexS-1	-0.049446761
Translational-1	-0.110402363
Un-8	0.259157394
FoxR	0.063672571
XisF4-2	0.053998057
GlpR	0.035024173
ArgR-1	-0.312606891
Singlet-4	0.155928339
Un-3	0.008289696
QscR-2	-0.105459087
PtxS	0.089764611
QscR-1	-0.025810679
AmpC	-0.079324588
AtuR	0.089424448
Zur-2	0.08583768
LiuR	-0.164406995
RpoS-1	0.047750079
RiPP	0.110658372
FleN-2	-0.071271136
PA1226	-0.074986476
Singlet-5	0.109496002
AmiE	-0.221450866
SouR	0.058169778
RpoN	0.055513553
DguR	-0.00938525
PvdS	0.064895894
Singlet-6	0.133755533
AmrZ	0.082387026
Singlet-7	-0.052537866
Singlet-8	-0.033742916
Un-1	-0.080069712
HutC	-0.126974272
FruR	-0.108167568
NRPS	-0.130002203
RsmA	-0.104562319
FpvR	0.044061871
RoxR	0.213711302
AtsR	-0.019722127
CysB-2	-0.05488941
MexS-2	0.159180974
MvfR	-0.120365954
MexZ	0.332877483
MdcR	0.032996444
PchR	0.060676569
ErbR-1	-0.037838004
Sigma-70	-0.063060771
HexR-2	0.060512363
CysB-1	-0.073407089
HypR	0.086273523
Singlet-9	0.128101968
Un-10	0.050267308
LasR	-0.140995456
XisF4-1	-0.022013856
Un-7	0.100455756
AauR	-0.198623878
Un-2	0.144607943
AntR	0.182466273
Anr-1	-0.160108196
Iron acquisition	0.093950343
RpoH	-0.028140634
k-opioid	0.022470228
CpxR	0.06461595
HexR-1	-0.095633767
PmrA	-0.051787936
Un-9	-0.081730165
Singlet-10	0.114804769
Anr-2	-0.035260308
FleN-1	0.022859139
Lrp	-0.268658899
Singlet-11	0.26724542
Zur-1	0.043158925
MmsR	-0.133274562
PhnR-2	0.200865558
Anr-3	-0.083697499
Un-4	0.112539317
CzcR	0.421786833
Cell Division	-0.283665288
Un-12	0.20326641
AcoR	0.068078387
Translational-3	-0.055721077
NarL	-0.060856302
Un-13	0.012802984
Singlet-12	0.150383215
AHL	-0.105702843
LaoR	0.075853266
Fur	0.157070796
Anr-4	-0.10068152
Quorum sensing	0.070705853
CysB-3	-0.228398899
Un-14	-0.300667211
