iMod_name	PCC
LexA	-0.108289281
EatR	0.200090452
PrrF	-0.08445392
RpoS-2	0.70099032
CbrB	0.123502568
CueR	0.319359562
Translational-2	-0.148556028
PprB	0.523656809
PhhR-1	0.338123014
DhcR	0.365715075
EutR	-0.244777391
ExsB	-0.17339051
Singlet-1	-0.255745622
SoxR	0.247501099
Singlet-2	-0.276398879
Singlet-3	-0.035845046
NagQ	0.054251478
ErbR-2	-0.048979494
Un-6	0.12225222
TagR1	-0.235257659
GcsR	0.250615821
BexR	-0.013725836
Un-11	-0.126256956
EsrC	-0.346940273
Sfa2	0.075766949
Un-5	0.140835472
MexS-1	0.219397037
Translational-1	-0.666766514
Un-8	-0.072605773
FoxR	-0.205338233
XisF4-2	-0.052421823
GlpR	-0.331284629
ArgR-1	0.047500409
Singlet-4	-0.110157597
Un-3	0.303600386
QscR-2	0.54653378
PtxS	0.157260645
QscR-1	-0.027177865
AmpC	-0.099423674
AtuR	0.311518922
Zur-2	-0.019240589
LiuR	0.359858869
RpoS-1	0.093225594
RiPP	-0.070944523
FleN-2	-0.201901192
PA1226	0.126504808
Singlet-5	-0.008762377
AmiE	0.07537119
SouR	0.035687802
RpoN	0.243782908
DguR	-0.020040438
PvdS	0.09294577
Singlet-6	-0.051638524
AmrZ	-0.005326924
Singlet-7	0.206404461
Singlet-8	0.029257465
Un-1	0.487466827
HutC	0.496242934
FruR	-0.156167109
NRPS	0.487818685
RsmA	0.300221336
FpvR	-0.257622509
RoxR	0.33268842
AtsR	0.510120488
CysB-2	0.287119366
MexS-2	-0.224545965
MvfR	0.398721045
MexZ	-0.008036449
MdcR	0.163000563
PchR	-0.138347825
ErbR-1	0.200039863
Sigma-70	0.126348827
HexR-2	0.105363875
CysB-1	0.402494227
HypR	0.189121826
Singlet-9	-0.31975821
Un-10	-0.164296434
LasR	0.486537672
XisF4-1	-0.018368502
Un-7	0.24262103
AauR	0.010709843
Un-2	0.081820147
AntR	0.204445973
Anr-1	-0.057092662
Iron acquisition	0.042683605
RpoH	0.027951377
k-opioid	0.542748536
CpxR	-0.230975356
HexR-1	0.3141262
PmrA	0.142360709
Un-9	-0.132191448
Singlet-10	0.01808299
Anr-2	-0.313581827
FleN-1	0.398045813
Lrp	0.000438601
Singlet-11	-0.167909318
Zur-1	0.235977291
MmsR	0.405094487
PhnR-2	-0.014069901
Anr-3	-0.267558776
Un-4	0.052325722
CzcR	-0.101544781
Cell Division	-0.169112783
Un-12	0.103286169
AcoR	-0.076626331
Translational-3	-0.073901635
NarL	-0.312060655
Un-13	0.311191673
Singlet-12	0.112933853
AHL	0.47107467
LaoR	0.496384447
Fur	-0.164665938
Anr-4	-0.160055877
Quorum sensing	0.491794869
CysB-3	0.157254336
Un-14	0.1043667
