Condition,CpxR,SoxR,CzcR,PprB,EsrC,MexS-1,CueR,MexZ
Ceftazidime,-1.5907553,6.29388687,-1.9136731,-2.5371164,0.87962546,-0.64815655,1.689902185,-0.69870235
Piperacillin,-1.0732049,4.449476725,1.18325012,4.81583102,1.597734215,-0.9767651,-6.12864645,-0.2511801
Azithromycin,1.626717025,2.81704203,10.04373458,6.14657444,8.24315816,-2.61576435,-2.29302015,-2.9208518
Gentamicin,-0.65274325,4.23688947,1.206720615,4.68472503,2.402445715,-0.7525392,-5.62161385,-0.4037055
GlcNAc,-1.6492091,-2.91164385,3.844814875,8.900508385,0.763987005,24.99324955,-5.30936,-2.3878338
CuSO4,6.20992156,-7.1976517,18.9592868,5.10927335,-0.111775625,22.2235288,13.51590975,-0.98631135
FeSO4,0.26407575,-3.3522086,1.655256965,20.6966721,0.60143728,24.28035745,1.04689242,-1.32140635
ZnCl,1.94931945,-0.973959085,5.238781225,18.7614184,5.75560253,24.5833697,-2.1849123,-1.9735329
NaOCl,-0.4293753,-4.8334331,5.305632305,8.360734095,2.210753235,24.8711956,-2.10297685,-4.70879705
n-alkanes,-1.4815033,9.08443582,2.282255305,13.94926295,-1.81641915,-2.6882389,8.627068245,1.30416517
M9glucAA,0.000000015,-1E-08,-5E-09,0,2.5E-08,-1.5E-08,1.5E-08,0
